Verifier: cpachecker
"Version: Running CPAchecker with default heap size (1200M). Specify a larger value with --heap if you have more RAM.
Running CPAchecker with default stack size (1024k). Specify a larger value with --stack if needed.
Running CPAchecker with the following extra VM options:  -Djava.io.tmpdir=/tmp/slurm.4653692

CPAchecker 4.1-39-g4a9b10b4c1 (OpenJDK 64-Bit Server VM 21.0.4)"
File Name,Parameter Count,Expected Result,Actual Result,Runtime,Solver Used,Flags/Command Used
sat_v7_c22.i,362,SAT,VERIFICATION SUCCESSFUL (UNSAT),31.2957s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/sat_v7_c22.i --default --timelimit 900
unsat_v7_c22.i,362,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),7.6329s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/unsat_v7_c22.i --default --timelimit 900
sat_v8_c36.i,574,SAT,VERIFICATION SUCCESSFUL (UNSAT),7.4520s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/sat_v8_c36.i --default --timelimit 900
unsat_v8_c38.i,596,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),6.5008s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/unsat_v8_c38.i --default --timelimit 900
sat_v9_c14.i,386,SAT,VERIFICATION SUCCESSFUL (UNSAT),6.8392s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/sat_v9_c14.i --default --timelimit 900
unsat_v9_c14.i,386,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),7.4386s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/unsat_v9_c14.i --default --timelimit 900
sat_v10_c13.i,431,SAT,VERIFICATION SUCCESSFUL (UNSAT),7.7731s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/sat_v10_c13.i --default --timelimit 900
unsat_v10_c13.i,431,UNSAT,VERIFICATION SUCCESSFUL (UNSAT),7.9365s,CPAchecker,cpachecker /mnt/iusers01/fse-ugpgt01/compsci01/e80540ak/asukaur/benchmark/benchconvert/c_preprocessed/unsat_v10_c13.i --default --timelimit 900
